id,NODE_NAME
393,속성변화점
110,안산1교
262,상록교회
318,애스톤하우스
172,디오컨벤션웨딩홀
367,고잔동794
301,초지동766
126,고잔동818
146,고잔동819
312,고잔동820
5,고잔동842
344,GS더프레시
291,안산6교사거리
401,고잔동835
15,커피랑도서관안산고잔점
167,고잔동799
66,자동차부분정비안산조합
296,고잔역사거리
33,명신2교
286,대우6차아파트교차로
187,터미널사거리
434,속성변화점
63,아름다운교회
38,속성변화점
337,사동1622
86,의류타운사거리
457,KB국민은행안산사동지점
51,사동1593
25,이동행정복지센터
102,사동1602
334,물의나라
379,이동768
17,이동771
98,초지동765
280,초지동768
95,고잔동806
309,안산시 상록구-안산시 단원구
3,이동616
252,사리사거리
267,사동1628
223,GS충전소해안로
117,사동1643
416,용신1교
427,용신고가삼거리
354,뉴라성관광호텔
150,서원호텔사거리
128,사동1595
199,신성어린이집
332,신일축산
273,예샘교회
448,이동728
228,이동728
166,사동1613
217,안산교
203,중앙역사거리
358,속성변화점
143,새은혜교회
275,초지동765
405,고잔동794
394,고잔동842
237,아고라홍보관
50,국제문화관
395,본관
19,셔틀콕
196,컨벤션센터
274,디자인대학
284,예체능대학
456,대운동장뒷편
389,카카오데이터센터
162,테니스장
362,학술정보관
158,노천극장
114,라이언스홀
131,LG이노텍
160,창업보육센터
140,기숙사
7,기숙사오르막
31,농구장
173,4공학관
