id,경도,위도
0377,126.8594026,37.31348428
0089,126.8644062,37.31500506
0297,126.8650026,37.31557084
0378,126.8213118,37.30817206
0138,126.8660983,37.28536891
0239,126.8538338,37.28807384
0364,126.8399815,37.30103359
0403,126.8456974,37.30163812
0118,126.8471805,37.30243215
0320,126.8472541,37.30336278
0281,126.8459259,37.30465795
0232,126.8479307,37.31153028
0261,126.8612959,37.31201371
0176,126.8458891,37.30372609
0444,126.8459016,37.30440935
0333,126.8379149,37.30225955
0240,126.8342894,37.31673503
0113,126.8332872,37.316791
0335,126.8304947,37.31695046
0135,126.8184111,37.30188721
0042,126.8195735,37.30344593
0299,126.8359596,37.30736371
0270,126.8202884,37.30822646
0398,126.8320393,37.30963827
0453,126.8276469,37.30987055
0371,126.8260216,37.31955965
0323,126.8217039,37.317399
0109,126.8225268,37.31391196
0027,126.8201664,37.31366646
0016,126.8168542,37.31350813
0399,126.8201916,37.31403307
0227,126.840527,37.31295012
0026,126.8173864,37.2980964
0310,126.8452849,37.31858796
0068,126.8428415,37.31871503
0462,126.8658287,37.31893459
0465,126.8517478,37.29081791
0067,126.866495,37.29343171
0370,126.8582293,37.29686343
0080,126.837771,37.30013862
0408,126.8397771,37.30139697
0392,126.8358145,37.30314406
0226,126.839877,37.3048239
0124,126.8555264,37.30844362
0260,126.845942,37.31162865
0351,126.8428428,37.31339065
0317,126.8627153,37.31337996
0142,126.8210671,37.31743212
0249,126.8357275,37.30430699
0278,126.8411951,37.30710603
0257,126.8166275,37.31045683
0045,126.8179914,37.31486759
0276,126.8169166,37.31420805
0445,126.8285406,37.3085671
0062,126.8385272,37.31303331
0035,126.8306533,37.31935778
0081,126.8273149,37.28344693
0154,126.8426527,37.31630409
0483,126.8652735,37.29019693
0331,126.8597305,37.3009695
0147,126.8391287,37.30241834
0361,126.8389639,37.30313793
0471,126.8455685,37.30657673
0441,126.8455148,37.30584307
0048,126.8656701,37.30990322
0294,126.8548884,37.29276075
0245,126.8272939,37.31263278
0200,126.8254764,37.3127319
0433,126.8419124,37.31456009
0477,126.8169523,37.31454136
0188,126.82557,37.3137302
