id,x,y,NODE_NAME
458,126.8435773,37.29712687,감골교회
418,126.8436174,37.30007765,안산대리구청
197,126.8608845,37.30177903,용신고가차도
123,126.8432997,37.3023769,한양대입구교차로
439,126.8560098,37.30541896,임시도로삼거리
105,126.860022,37.30649562,건국우유대리점상록구전체
103,126.8504967,37.30771066,이동736
250,126.8563163,37.30765596,RICHSMOOTHIE
251,126.8475827,37.30772287,트루바
83,126.8503739,37.30911505,이동734
92,126.8423775,37.30813196,속성변화점
442,126.8499499,37.31191196,붉은섬공원교차로
181,126.8636058,37.31279853,속성변화점
424,126.8485941,37.31370476,이동765
134,126.8431518,37.3133833,이동764
97,126.847064,37.30575087,사동1627
47,126.8386857,37.30928646,속성변화점
374,126.82789,37.31260026,법원사거리
460,126.8178515,37.31314878,대흥빌딩
99,126.8180475,37.31555887,초지동765
157,126.8256732,37.31484322,대덕프라자
430,126.8170166,37.31527459,초지동761
34,126.8319403,37.30838381,고잔동820
93,126.8491397,37.31598093,단원미술관사거리
28,126.8478023,37.29661043,안산하늘빛교회
328,126.8636968,37.28363134,도화추어탕
461,126.8510352,37.28482823,초당초등학교
120,126.8661714,37.28690543,다보사
1,126.8607361,37.29034247,본오동1001
152,126.8665272,37.29408078,속성변화점
277,126.8666657,37.29664256,반월중앙감리교회
303,126.8475335,37.30676993,굿모닝오피스텔교차로
191,126.8495736,37.30861544,이동734
422,126.8453872,37.30880482,이동748
10,126.8427133,37.31180503,안산8교
266,126.8454766,37.30991704,이동742
368,126.8467765,37.30909215,이동746
400,126.8459391,37.30581752,사동1594
29,126.848489,37.29119422,사동1345-3
265,126.8294822,37.30445621,호수공원사거리
365,126.8250321,37.30798071,고잔공원삼거리
59,126.8310403,37.3096911,고잔동826
316,126.8313151,37.31241402,문화광장사거리
13,126.8204143,37.31300784,화정12교사거리
78,126.8275902,37.31535559,지디스타일안산점
340,126.8180723,37.31586816,성재빌딩
39,126.8190914,37.31550791,초지동766
148,126.8202419,37.31475839,초지동766
211,126.8169791,37.31492463,초지동761
256,126.8314528,37.31433312,고잔동818
129,126.8404645,37.31222482,고잔동842
40,126.821475,37.3102019,화정14교
263,126.8588585,37.30505826,버스정류장
380,126.8577732,37.29043768,사리역
349,126.8520396,37.29603506,안산신생교회
426,126.8473964,37.30511065,성안중사거리
168,126.8513862,37.30682392,사동1602
65,126.8476694,37.30866996,안산은혜교회
212,126.8443017,37.31334164,이동761
100,126.8459264,37.30543954,사동1627
194,126.8321869,37.30430543,고잔동850
112,126.8265682,37.30461859,한국비즈넷
298,126.83253,37.30836072,고잔동826
175,126.8413639,37.30914459,9단지삼거리
225,126.8252213,37.3100044,호수파출소앞교차로
342,126.8201899,37.31024915,주공12단지교차로
467,126.8330284,37.31425246,고잔동824
343,126.8363547,37.31214146,송호초교사거리
22,126.836439,37.31316097,고잔동825
73,126.8217843,37.31394889,소망빌딩
384,126.8170416,37.31562455,초지동760
55,126.8189915,37.31409974,초지동769
289,126.8277782,37.31139177,고잔동806
243,126.8449653,37.31470108,한전사거리
248,126.8434356,37.31626668,안산교
101,126.8413922,37.32057168,안산2교
300,126.8266026,37.28575712,그랑시티자이아파트
413,126.8639075,37.288638,갤럭시장사거리
30,126.8198651,37.29522237,푸르지오7차어린이집
255,126.8487053,37.29912493,속성변화점
350,126.841993,37.30184794,성안고등학교
115,126.8580484,37.31301293,속성변화점
438,126.8498253,37.31415559,푸른생화꽃백화점
421,126.8227907,37.29026258,송산교
449,126.86454,37.31097076,이동620-3
295,126.8333518,37.31779171,고잔동562
472,126.8323421,37.30613996,속성변화점
279,126.8169242,37.30790905,초지동781
290,126.823382,37.3138683,안산광성교회
186,126.8164292,37.30792543,초지동780
338,126.8165167,37.30900864,초지동행정복지센터
213,126.8386147,37.31418318,고잔동835
58,126.845012,37.3151802,한전사거리
269,126.8637761,37.2854108,본오1동행정복지센터
308,126.8661024,37.28475143,본오교회삼거리
151,126.8463054,37.31613531,안산버스터미널
52,126.8524094,37.28481184,속성변화점
474,126.8458883,37.30339528,사동1212-5
37,126.8499192,37.30454831,무지개어린이집
455,126.857592,37.30637618,임시도로사거리
24,126.8457095,37.30822654,이동748
268,126.8478273,37.31039268,학현초등학교
383,126.8491638,37.30632581,이동737
121,126.8500387,37.30816727,이동735
155,126.8382648,37.3024512,사동1614
381,126.859688,37.28555327,본오동1010
406,126.8268099,37.30728821,속성변화점
242,126.8200226,37.30824059,화정15교사거리
96,126.8334579,37.31917425,KB국민은행안산종합금융센터
201,126.8202153,37.31437741,초지동768
139,126.8243535,37.31462471,고잔동796
132,126.818904,37.31340815,초지동770
207,126.8168791,37.31384975,초지동764
345,126.8665297,37.3145444,속성변화점
313,126.8404502,37.3119198,고잔동825
64,126.8390116,37.31199768,속성변화점
366,126.8406396,37.30175129,사동1625
234,126.8272881,37.29429156,사동1636
404,126.8481185,37.29984115,안산향토사박물관
375,126.8631862,37.30086053,크래프트홉스안산상록수점
293,126.8390002,37.30286111,사동1621
482,126.8632759,37.30170509,본오3동행정복지센터
127,126.845429,37.30467059,은혜침례교회
324,126.8416251,37.30558962,속성변화점
387,126.8547741,37.30670331,고향마을삼거리
410,126.8437398,37.30698071,안산제일교회교차로
170,126.8664915,37.30761475,세븐일레븐안산일동제일점
137,126.8656026,37.30849687,벧엘교회
221,126.8525756,37.30903406,한대앞역삼거리
412,126.8660128,37.31090074,일동사무소입구사거리
419,126.8446683,37.31170734,송호고교사거리
21,126.8454016,37.3091588,이동742
373,126.8454391,37.30953375,이동742
241,126.8459766,37.30618414,사동1594
161,126.8382148,37.30132633,사동1613
164,126.8380273,37.30285115,사동1614
229,126.8167778,37.30621843,예빛교회
417,126.8361298,37.30942181,6단지사거리
446,126.8326354,37.30960674,신한은행고잔지점
288,126.8327879,37.31140994,고잔동826
125,126.8234407,37.31469186,고잔동794
36,126.8280281,37.31451641,고잔동802
326,126.8290905,37.31445809,고잔동802
429,126.8377523,37.3142165,고잔동835
153,126.8495869,37.29803154,안산시단원구선거관리위원회
432,126.8418461,37.31400675,안산5교사거리
355,126.8663414,37.29016275,이디야커피안산반월공원점
111,126.8564544,37.29066543,사리역
238,126.8570812,37.29287975,속성변화점
425,126.862918,37.29355046,푸른하늘교회
53,126.8367863,37.30181324,사동1612
292,126.8456417,37.30124099,새누리장애인부모연대안산지부
272,126.859776,37.30181328,용신고가삼거리
258,126.8562997,37.3019929,용신고가차도
90,126.8521779,37.30325443,예향교회
321,126.8474464,37.30571478,나눔과섬김교회
189,126.8481426,37.30790028,이동734
54,126.8441634,37.30887712,사리수산물
88,126.8599298,37.31067031,아이뜰어린이집
470,126.8463784,37.31445048,이동765
359,126.8461765,37.31201681,이동768
478,126.8479764,37.3119085,학현초교사거리
468,126.8468265,37.30985039,학현초등학교
353,126.8440767,37.30629228,안산제일교회교차로
369,126.8211954,37.3069639,속성변화점
46,126.8269333,37.30865084,고잔동805
